whiskyId,name,description,whiskyImg,whiskyLink,distillery,countryRegion,type,age,abv,bottler
432,Aberfeldy   12 Years,,https://www.whisky.com/fileadmin/_processed_/2/2/csm_aberf12ne_aw_0466fcdeb7.jpg,https://www.whisky.com/whisky-database/details/aberfeldy-4.html,Aberfeldy,"Scotland,Highlands",Single Malt Whisky,12 Years,40%,Original bottling
464,Ardbeg       Uigeadail,This was the first bottling of the newly opened Ardbeg distillery under the new banner. It was bottled from 90% ex-bourbon casks and 10% ex-sherry casks. The Ardbeg Uigeadail is fruitier and smoother than the normal Ardbeg TEN.This was the first bottling of the newly opened Ardbeg distillery under the new banner. It was bottled from 90% ex-bourbon casks and 10% ex-sherry casks. The Ardbeg Uigeadail is fruitier and smoother than the normal Ardbeg TEN.,https://www.whisky.com/fileadmin/_processed_/9/3/csm_0_72b588_ardbeuige_aw_023dfd398f.jpg,https://www.whisky.com/whisky-database/details/ardbeg-uigeadail.html,Ardbeg,"Scotland,Islay",Single Malt Whisky,,54.20%,Original bottling
566,Balvenie   12 Years     Double Wood,This Balvenie was matured in old sherry and bourbon casks. It makes this scotch interesting but also mild. The orange flavour and a deep sweetness make it a true gem among malt whiskies.This Balvenie was matured in old sherry and bourbon casks. It makes this scotch interesting but also mild. The orange flavour and a deep sweetness make it a true gem among malt whiskies.,https://www.whisky.com/fileadmin/_processed_/1/2/csm_0_4e6ca6_balve1200_aw_10b171a0a0.jpg,https://www.whisky.com/whisky-database/details/balvenie-double-wood.html,The Balvenie,"Scotland,Speyside",Single Malt Whisky,12 Years,40%,Original bottling
641,Bowmore   12 Years     (new cardboard box),"Bowmore is the oldest distillery on Islay. This is their flagship, the 12-year-old in the new cardboard box. Bowmore is the oldest distillery on Islay. This is their flagship, the 12-year-old in the new cardboard box.",https://www.whisky.com/fileadmin/_processed_/4/1/csm_0_d29a71_bowmo1200_bw_61e9d80aa9.jpg,https://www.whisky.com/whisky-database/details/bowmore-1.html,Bowmore,"Scotland,Islay",Single Malt Whisky,12 Years,40%,Original bottling
775,Bulleit,"Four Roses created this medium-heavy Bourbon. The nose experiences oaky notes. A spicy and aromatic body follows with flavours of fruit, light smoke, apple and orange. Four Roses created this medium-heavy Bourbon. The nose experiences oaky notes. A spicy and aromatic body follows with flavours of fruit, light smoke, apple and orange.",https://www.whisky.com/fileadmin/_processed_/2/f/csm_0_03410a_bulleit80_aw_20cbc59736.jpg,https://www.whisky.com/whisky-database/details/bulleit-1.html,Four Roses,"USA,Kentucky",Bourbon,,40%,Original bottling
796,Bushmills   16 Years     Three Woods,"This Whiskey gets its byname because it contains Whiskeys from ex-Bourbon, ex-Sherry and ex-Port casks. It was awarded Gold at the 2010 San Francisco World Spirits Competition.This Whiskey gets its byname because it contains Whiskeys from ex-Bourbon, ex-Sherry and ex-Port casks. It was awarded Gold at the 2010 San Francisco World Spirits Competition.",https://www.whisky.com/fileadmin/_processed_/b/1/csm_0_3d8cfd_bushm1600_w_7f561743fb.jpg,https://www.whisky.com/whisky-database/details/bushmills-three-woods.html,Bushmills,Ireland,Single Malt Whisky,16 Years,40%,Original bottling
797,Bushmills   16 Years     Three Woods mit Gläsern in Holzkiste,,https://www.whisky.com/fileadmin/_processed_/0/a/csm_0_e27e5d_bushm16gl_w_5501ef6d3b.jpg,https://www.whisky.com/whisky-database/details/bushmills-three-woods-mit-2-glaesern-in-holzkiste.html,Bushmills,Ireland,Single Malt Whisky,16 Years,40%,Original bottling
902,Dewars   12 Years     Special Reserve,,https://www.whisky.com/fileadmin/_processed_/1/c/xcsm_0_2d38c3_dewar1200_w_927b534b21.jpg.pagespeed.ic.u82Pggg9xH.jpg,https://www.whisky.com/whisky-database/details/dewars-special-reserve.html,Blend-Scotch,Scotland,,12 Years,40%,Original bottling
904,Dewars       Signature,,https://www.whisky.com/fileadmin/_processed_/a/7/csm_0_a46763_dewarsign_aw_5d21402632.jpg,https://www.whisky.com/whisky-database/details/dewars-signature.html,Blend-Scotch,Scotland,Blended Whisky,,43%,Original bottling
1277,Michter's   16 Years     A. H. Hirsch Reserve,,https://www.whisky.com/fileadmin/_processed_/6/2/csm_A.H.Hirsch_16j._Reserve_3f26726d15.jpg,https://www.whisky.com/whisky-database/details/a-h-hirsch-reserve.html,Michter's,"USA,Kentucky",Bourbon,16 Years,45.80%,Original bottling
1693,Suntory   12 Years     Hakushu,,https://www.whisky.com/fileadmin/_processed_/a/d/csm_0_a04117_suntoha12b_w_70396f1544.jpg,https://www.whisky.com/whisky-database/details/suntory-hakushu.html,Hakushu,Japan,Single Malt Whisky,12 Years,43%,Original bottling
1694,Suntory   12 Years     Hibiki,,https://www.whisky.com/fileadmin/_processed_/a/5/csm_0_c7ef63_suntohi12_w_0869335110.jpg,https://www.whisky.com/whisky-database/details/suntory-hibiki.html,Blend-Japan,Japan,Blended Whisky,12 Years,43%,Original bottling
1698,Suntory   12 Years     Yamazaki,"This Single Malt Whisky matured in three different types of oak casks: American, Spanish and Japanese oak. The Vale of Yamazaki was the birthplace of Japanese Whisky in 1923.This Single Malt Whisky matured in three different types of oak casks: American, Spanish and Japanese oak. The Vale of Yamazaki was the birthplace of Japanese Whisky in 1923.",https://www.whisky.com/fileadmin/_processed_/4/0/csm_0_b82d2f_suntoya12_w_4fe95f0dbf.jpg,https://www.whisky.com/whisky-database/details/suntory-yamazaki-3.html,Yamazaki,Japan,Single Malt Whisky,12 Years,43%,Original bottling
1699,Suntory   18 Years     Yamazaki,"This Single Malt Whisky matured in three different oak casks: American, Spanish and Japanese. This makes the Whisky from the Suntory owned distillery exceptional. The Valley of Yamazaki on the mountainside of Tennozan is located on the island Honshu and is the birthplace of Japanese Whisky,  since 1923.This Single Malt Whisky matured in three different oak casks: American, Spanish and Japanese. This makes the Whisky from the Suntory owned distillery exceptional. The Valley of Yamazaki on the mountainside of Tennozan is located on the island Honshu and is the birthplace of Japanese Whisky,  since 1923.",https://www.whisky.com/fileadmin/_processed_/c/4/csm_0_ec9d19_suntoya18_aw_99c8f3035f.jpg,https://www.whisky.com/whisky-database/details/suntory-yamazaki-1.html,Yamazaki,Japan,Single Malt Whisky,18 Years,43%,Original bottling
1820,Glenfiddich   12 Years,"With their 12-year-old standard bottling, Glenfiddich helped to establish the single malt whisky category worldwide. Today it is still the best-selling single malt whisky in the world.With their 12-year-old standard bottling, Glenfiddich helped to establish the single malt whisky category worldwide. Today it is still the best-selling single malt whisky in the world.",https://www.whisky.com/fileadmin/_processed_/e/7/csm_0_257823_gfidd1207_bw_532dbf6c10.jpg,https://www.whisky.com/whisky-database/details/glenfiddich.html,Glenfiddich,"Scotland,Speyside",Single Malt Whisky,12 Years,40%,Original bottling
1972,Nikka   3 Years     Black Special,,https://www.whisky.com/fileadmin/_processed_/d/8/xcsm_black_nikka_whisky_1440ml_b440258392.jpg.pagespeed.ic.kw87Qs9eEC.jpg,https://www.whisky.com/whisky-database/details/nikka-black-special.html,Miyagikyo (Nikka),Japan,,3 Years,42%,
1974,Tullamore D.E.W.   10 Years,,https://www.whisky.com/fileadmin/_processed_/a/1/csm_0_c5790e_DSC_2800_edd1665895.jpg,https://www.whisky.com/whisky-database/details/tullamore-dew.html,Midleton,Ireland,Single Malt Whisky,10 Years,40%,Original bottling
2200,Lagavulin   16 Years,"The Lagavulin 16 is an Islay classic with a high peat content. The stills of the distillery are pear-shaped, so all the flavours are kept in the malt. The Lagavulin 16 single malt is matured in bourbon and sherry casks. This is the 0.2 litre version.The Lagavulin 16 is an Islay classic with a high peat content. The stills of the distillery are pear-shaped, so all the flavours are kept in the malt. The Lagavulin 16 single malt is matured in bourbon and sherry casks. This is the 0.2 litre version.",https://www.whisky.com/fileadmin/_processed_/2/2/csm_0_3536cd_lagav1602_aw_98723530df.jpg,https://www.whisky.com/whisky-database/details/lagavulin-1.html,Lagavulin,"Scotland,Islay",Single Malt Whisky,16 Years,43%,Original bottling
2741,Aberfeldy   12 Years,"The Aberfeldy distillery was founded by the Dewar family in 1892. Even today most part of the production is used in the Dewar's Blend. Because of its pleasant aroma, the Aberfeldy is also available as original bottling.The Aberfeldy distillery was founded by the Dewar family in 1892. Even today most part of the production is used in the Dewar's Blend. Because of its pleasant aroma, the Aberfeldy is also available as original bottling.",https://www.whisky.com/fileadmin/_processed_/c/c/csm_0_7147f6_aberf121l_aw_f2055b5ec4.jpg,https://www.whisky.com/whisky-database/details/aberfeldy-5.html,Aberfeldy,"Scotland,Highlands",Single Malt Whisky,12 Years,40%,Original bottling
3886,Dewars       White label,,https://www.whisky.com/fileadmin/_processed_/0/4/csm_0_d07fd8_dewar0000_bw_91e496de20.jpg,https://www.whisky.com/whisky-database/details/dewars-white-label-1.html,Blend-Scotch,Scotland,Blended Whisky,,40%,Original bottling
4074,Dalmore       Dee Dram,,https://www.whisky.com/fileadmin/_processed_/8/3/csm_deedram_401895cf7d.jpg,https://www.whisky.com/whisky-database/details/dalmore-dee-dram.html,Dalmore,"Scotland,Highlands",Single Malt Whisky,,40%,Original bottling
4120,Bulleit       Bourbon,"A special edition of Bulleit Bourbon. Packaged here in a Lewis bag, it has developed a loyal following in the UK. The high rye content (around 30%) gives this bourbon a spicy kick.A special edition of Bulleit Bourbon. Packaged here in a Lewis bag, it has developed a loyal following in the UK. The high rye content (around 30%) gives this bourbon a spicy kick.",https://www.whisky.com/fileadmin/_processed_/3/a/csm_0_e26949_bulle00bo_aw_3c8debe119.jpg,https://www.whisky.com/whisky-database/details/bulleit.html,Four Roses,"USA,Kentucky",Kentucky Straight Bourbon,,45%,Original bottling
4574,Dewars   18 Years,,https://www.whisky.com/fileadmin/_processed_/f/f/csm_0_e36f97_dewar1800_aw_211c370bbc.jpg,https://www.whisky.com/whisky-database/details/dewars-18-jahre.html,Blend-Scotch,Scotland,Blended Whisky,18 Years,40%,Original bottling
5541,High West       Double Rye,,https://www.whisky.com/fileadmin/_processed_/5/5/csm_0_a26242_High_West_Double_Rye_Whiskey_1893df6a6a.jpg,https://www.whisky.com/whisky-database/details/high-west-double-rye.html,High West,USA,Rye,,46%,Original bottling
5582,Grant's       The Family Reserve,,https://www.whisky.com/fileadmin/_processed_/5/d/csm_0_50f4fa_2l_936e9b789f.jpg,https://www.whisky.com/whisky-database/details/grants-the-family-reserve.html,Blend-Scotch,Scotland,,,40%,Other bottler
5734,Lagavulin     - 1995,"This is the Distillers Edition of Lagavulin. It has been finished in Spanish Pedro Ximenez sherry casks, which adds a lot of sweetness and depth to the classic Lagavulin flavours, making it the favourite whisky of many a malthead. This is the Distillers Edition of Lagavulin. It has been finished in Spanish Pedro Ximenez sherry casks, which adds a lot of sweetness and depth to the classic Lagavulin flavours, making it the favourite whisky of many a malthead.",https://www.whisky.com/fileadmin/_processed_/2/9/xcsm_0_8c8120_lagavulin_distillers_edition_1995_2013_dacd0a1d26.jpg.pagespeed.ic.EJSLHyOmK1.jpg,https://www.whisky.com/whisky-database/details/lagavulin-distillers-edition.html,Lagavulin,"Scotland,Islay",Single Malt Whisky,,43%,Original bottling
5929,Bulleit       95 Rye,This Rye of Bulleit has an unusually high rye content of 95% and was minimum of four years in American oak barrels. This Rye of Bulleit has an unusually high rye content of 95% and was minimum of four years in American oak barrels.,https://www.whisky.com/fileadmin/_processed_/2/f/csm_Bulleit_Rye_Small_Batch_eef69e9a3e.jpg,https://www.whisky.com/whisky-database/details/bulleit-95-rye-whiskey.html,Four Roses,"USA,Kentucky",Straight Rye,,45%,Original bottling
6145,Grant's       The Family Reserve,,https://www.whisky.com/typo3temp/assets/_processed_/b/0/xcsm_noImageDummy-wide_5fd0bea557.png.pagespeed.ic.FfbeCZH6wV.png,https://www.whisky.com/whisky-database/details/the-family-reserve.html,Glenfiddich,"Scotland,Speyside",,,43%,Other bottler
6260,Michter‘s       Single Barrel Straight Rye,,https://www.whisky.com/fileadmin/_processed_/b/5/csm_2015-10-19_20.02.26_c4b6354dab.jpg,https://www.whisky.com/whisky-database/details/michters-single-barrel-straight-rye-whiskey.html,Michter's,"USA,Kentucky",Kentucky Straight Rye,9K-5,42.40%,Original bottling
6263,Michter's   10 Years,,https://www.whisky.com/fileadmin/web_data/tx_datamintsflaschendb/flaschen/xMichter-s-10-Year-Kentucky-Straight-Bourbon-47-0.70-114534-3.jpg.pagespeed.ic.zB9T-z4mE0.jpg,https://www.whisky.com/whisky-database/details/michters-single-barrel-bourbon.html,Michter's,"USA,Kentucky",Bourbon,10 Years\n				\n					9C-1,47.20%,Original bottling
6581,Lagavulin     - 1997   / 2013 Distillers Edition,"This is the Distillers Edition of Lagavulin. It has been finished in Spanish Pedro Ximenez sherry casks, which adds a lot of sweetness and depth to the classic Lagavulin flavours, making it the favourite whisky of many a malthead. This is the Distillers Edition of Lagavulin. It has been finished in Spanish Pedro Ximenez sherry casks, which adds a lot of sweetness and depth to the classic Lagavulin flavours, making it the favourite whisky of many a malthead.",https://www.whisky.com/fileadmin/_processed_/a/1/xcsm_0_5b6988_Lagavulin_1997_4_502_e8f164b734.jpg.pagespeed.ic.5wi9GAxgnn.jpg,https://www.whisky.com/whisky-database/details/lagavulin-distillers-edition-20.html,Lagavulin,"Scotland,Islay",Single Malt Whisky,lgv 4/502,43%,Original bottling
6824,Teeling       Rum Cask,,https://www.whisky.com/fileadmin/_processed_/5/a/csm_Teeling-Small-Batch-Irish-Whiskey_ab2f8ef61a.jpg,https://www.whisky.com/whisky-database/details/teeling-whiskey-small-batch-1.html,Teeling,Ireland,,,46%,Original bottling
7116,Grant's   3 Years     The Family Reserve,,"https://www.whisky.com/fileadmin/web_data/tx_datamintsflaschendb/flaschen/xGrants,P20Family,P20Reserve.jpg.pagespeed.ic.a8fYZORRmz.jpg",https://www.whisky.com/whisky-database/details/grants-the-family-reserve-1.html,Blend-Scotch,Scotland,,3 Years,40%,Original bottling
7238,Dewars   12 Years     Double Aged,,https://www.whisky.com/fileadmin/_processed_/7/3/csm_0_253504_dewar1200_aw_330f064b45.jpg,https://www.whisky.com/whisky-database/details/dewars-double-aged.html,Blend-Scotch,Scotland,Blended Whisky,12 Years,40%,Original bottling
8034,Compass Box       The Peat Monster - Tenth Anniversary Limited Release,,https://www.whisky.com/fileadmin/_processed_/3/8/csm_0_17f09a_2014-03-31_23.53_a2219d86be.jpg,https://www.whisky.com/whisky-database/details/the-peat-monster-tenth-anniversary-limited-release.html,Blend-Scotch,Scotland,Blended Malt Whisky,,48.90%,Compass Box
8061,Glen Els   5 Years   - 2008   Woodsmoked Rivesaltes,,https://www.whisky.com/fileadmin/_processed_/b/0/csm_2016-01-05_Glen_Els_5J_Rivesaltes_Cask_126_1b7a7cd887.jpg,https://www.whisky.com/whisky-database/details/the-glen-els-woodsmoked-rivesaltes-2008.html,Hammerschmiede (Elsburn/Glen Els),Germany,Single Malt Whisky,5 Years\n				\n					76,46.60%,Original bottling
8082,Glen Els   5 Years   - 2008   Woodsmoked Cream Sherry,,https://www.whisky.com/fileadmin/_processed_/8/4/xcsm_0_68ece9_The_Glen_Els_Woodsmoked_Cream_Sherry_5J_2008-2009_8a09b9ae59.jpg.pagespeed.ic.RTh7vO3Igm.jpg,https://www.whisky.com/whisky-database/details/the-glen-els-woodsmoked-cream-sherry.html,Hammerschmiede (Elsburn/Glen Els),Germany,Single Malt Whisky,5 Years\n				\n					135,48.20%,Original bottling
8226,Rowan´s Creek,,https://www.whisky.com/fileadmin/_processed_/1/0/csm_0_c31e6a_IMG_3865_5cb6ac8f0a.jpg,https://www.whisky.com/whisky-database/details/rowans-creek.html,Willett,"USA,Kentucky",Kentucky Straight Bourbon,,50%,Original bottling
8404,Glen Els       Ember woodsmoked,,https://www.whisky.com/fileadmin/_processed_/f/d/xcsm_image_72_9c668069ba.jpg.pagespeed.ic.wnKH7V_K9e.jpg,https://www.whisky.com/whisky-database/details/the-glen-els-ember-woodsmoked.html,Hammerschmiede (Elsburn/Glen Els),Germany,Single Malt Whisky,,45.90%,Original bottling
8436,Dalmore   30 Years     Ceti Edition 1,,https://www.whisky.com/fileadmin/_processed_/7/5/xcsm_dalmoreceti30rocna_01_ad979d168b.jpg.pagespeed.ic.37r63WEfMe.jpg,https://www.whisky.com/whisky-database/details/the-dalmore-ceti-edition-1.html,Dalmore,"Scotland,Highlands",Single Malt Whisky,30 Years,45%,Original bottling
8459,Nikka       Coffey Grain,,https://www.whisky.com/fileadmin/_processed_/3/f/csm_0_b311c9_nikkacogr_aw_c34dcf6f06.jpg,https://www.whisky.com/whisky-database/details/nikka-coffey-grain.html,Miyagikyo (Nikka),Japan,Grain Whisky,,45%,Original bottling
8460,Nikka       Coffey Malt,,https://www.whisky.com/fileadmin/_processed_/6/8/csm_0_f1921d_nikkacoma_aw_47461c3f1e.jpg,https://www.whisky.com/whisky-database/details/nikka-coffey-malt.html,Miyagikyo (Nikka),Japan,Whisky,,45%,Original bottling
8801,Glen Els   5 Years   - 2008   Woodsmoked Madeira,,https://www.whisky.com/fileadmin/_processed_/0/3/xcsm_20151007_004327-1200x1600_17152c6a4a.jpg.pagespeed.ic.nMUGLJ0mvV.jpg,https://www.whisky.com/whisky-database/details/the-glen-els-woodsmoked-madeira.html,Hammerschmiede (Elsburn/Glen Els),Germany,Single Malt Whisky,5 Years\n				\n					129,46.70%,Original bottling
8859,Koval       Bourbon,,https://www.whisky.com/fileadmin/_processed_/4/c/csm_0_62dd0a_image_KOVAL00BO_1_ca248350f0.jpg,https://www.whisky.com/whisky-database/details/koval-bourbon.html,Koval,"USA,Illinois",Straight Bourbon,,47%,Original bottling
8860,Koval       Rye,"Koval was founded in 2008 in Chicago; their bottlings are certified in America as ""organic"" and kosher. The Cognacs mature in gallon barrels (113.55 liters) and are bottled in individual barrels.Koval was founded in 2008 in Chicago; their bottlings are certified in America as ""organic"" and kosher. The Cognacs mature in gallon barrels (113.55 liters) and are bottled in individual barrels.",https://www.whisky.com/fileadmin/_processed_/8/1/csm_0_afdd2a_image_KOVAL00RY_1_cc0239bdc8.jpg,https://www.whisky.com/whisky-database/details/koval-rye.html,Koval,"USA,Illinois",Straight Rye,,40%,Original bottling
9341,Michter‘s       Small Batch US*1 Kentucky Straight Bourbon,"Michter's Bourbon is produced in small batches. Within each charge, not more than 24 casks are used. \nMichter's Bourbon is produced in small batches. Within each charge, not more than 24 casks are used.",https://www.whisky.com/fileadmin/_processed_/1/9/csm_0_ab8b07_micht00bo_aw_aeee103ddf.jpg,https://www.whisky.com/whisky-database/details/michters.html,Michter's,"USA,Kentucky",Kentucky Straight Bourbon,,45.70%,Original bottling
9343,Koval       Millet,,https://www.whisky.com/fileadmin/_processed_/1/8/csm_Nur_ein_foto_4e1d0f7ed9.jpg,https://www.whisky.com/whisky-database/details/koval-millet.html,Koval,"USA,Illinois",Whiskey,,40%,Original bottling
9406,Michter‘s       Sour Mash,,https://www.whisky.com/fileadmin/_processed_/6/7/csm_0_7bb1ff_micht00so_aw_a6ee4ae614.jpg,https://www.whisky.com/whisky-database/details/michters-sour-mash.html,Michter's,"USA,Kentucky",Whiskey,,43%,Original bottling
9722,Lagavulin     - 1998   Double Matured,"This bottling of Lagavulin is part of the Distillers Edition of the Classic Malts of Scotland. In this series, the Whiskies are filled into various casks from the Iberian peninsula to finish for another six months after the regular maturation. The strong, dry and maritime character of Lagavulin is complemented with the rich and sweet aromas of a Pedro Ximenez cask.This bottling of Lagavulin is part of the Distillers Edition of the Classic Malts of Scotland. In this series, the Whiskies are filled into various casks from the Iberian peninsula to finish for another six months after the regular maturation. The strong, dry and maritime character of Lagavulin is complemented with the rich and sweet aromas of a Pedro Ximenez cask.",https://www.whisky.com/fileadmin/_processed_/8/f/csm_Lagavulin_1998_4_503_76110c3ad2.jpg,https://www.whisky.com/whisky-database/details/lagavulin-distillers-edition-21.html,Lagavulin,"Scotland,Islay",Single Malt Whisky,,43%,Original bottling
9907,Dewars       White label,,https://www.whisky.com/fileadmin/_processed_/b/7/csm_0_eb6da8_dewar0001_aw_a6e9ad482f.jpg,https://www.whisky.com/whisky-database/details/dewars-white-label-2.html,Blend-Scotch,Scotland,Blended Whisky,,40%,Original bottling
10779,Teeling       Single Malt,,https://www.whisky.com/fileadmin/_processed_/f/b/xcsm_0_0c8f81_teeli0000_aw_185f3cf960.jpg.pagespeed.ic.8maZvRPCuB.jpg,https://www.whisky.com/whisky-database/details/teeling-single-malt-1.html,Teeling,Ireland,Single Malt Whisky,,46%,Original bottling
10839,Michter‘s       American,,https://www.whisky.com/fileadmin/_processed_/2/6/csm_0_082222_micht00am_aw_0090238010.jpg,https://www.whisky.com/whisky-database/details/michters-american.html,Michter's,"USA,Kentucky",Whiskey,,41.70%,Original bottling
11246,Koval       Millet,,https://www.whisky.com/fileadmin/_processed_/9/a/csm_0_508981_minikovmi_aw_70d695fb63.jpg,https://www.whisky.com/whisky-database/details/koval.html,Koval,"USA,Illinois",other,,40%,Original bottling
11247,Koval       Rye,,https://www.whisky.com/fileadmin/_processed_/5/1/csm_0_2120a2_minikovry_aw_89ade6c502.jpg,https://www.whisky.com/whisky-database/details/koval-rye-1.html,Koval,"USA,Illinois",Rye,,40%,Original bottling
11599,Famous Grouse       The Famous Family,,https://www.whisky.com/fileadmin/_processed_/d/c/csm_0_067567_P1010394_4ecdf6cbad.jpg,https://www.whisky.com/whisky-database/details/famous-grouse-the-famous-family.html,Blend-Scotch,Scotland,,,40%,Other bottler
11616,Bulleit   4 Years     95 Rye Whiskey,,https://www.whisky.com/fileadmin/_processed_/f/9/csm_0_cf9350_bulleit-rye_0c845f011e.jpg,https://www.whisky.com/whisky-database/details/bulleit-95-rye-whiskey-1.html,Four Roses,"USA,Kentucky",Rye,4 Years,46%,Original bottling
11738,Glen Els       Künstlercollection II Malaga Cask Woodsmoked,,https://www.whisky.com/fileadmin/_processed_/3/2/xcsm_0_8fd3d2_Screenshot_2015-07-17-20-32-51-1_85c12982d4.png.pagespeed.ic.PA1_lbBNRr.jpg,https://www.whisky.com/whisky-database/details/glen-els-kuenstlercollection-ii-malaga-cask.html,Hammerschmiede (Elsburn/Glen Els),Germany,Single Malt Whisky,,45.90%,Original bottling
11819,Bushmills   21 Years   - 1994   Matured in Three Woods,,https://www.whisky.com/fileadmin/web_data/tx_datamintsflaschendb/flaschen/x0_4a4f4f_bushmills-three-woods.jpg.pagespeed.ic.oLfx-zc_DQ.jpg,https://www.whisky.com/whisky-database/details/bushmills-matured-in-three-woods.html,Bushmills,Ireland,Single Malt Whisky,21 Years\n				\n					18086/2015,40%,Original bottling
